ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M
29,Tlaxcala,041,Papalotla de Xicohténcatl,0000,Total del Municipio,602,311,291,6,4,2,586,302,284,597,6,581,1643,231,115,116
29,Tlaxcala,041,Papalotla de Xicohténcatl,0001,Papalotla,542,280,262,6,4,2,528,272,256,537,6,523,1441,214,111,103
29,Tlaxcala,041,Papalotla de Xicohténcatl,0004,San Marcos Contla,59,30,29,0,0,0,57,29,28,59,0,57,198,17,4,13
29,Tlaxcala,041,Papalotla de Xicohténcatl,0014,El Piecito,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
29,Tlaxcala,041,Papalotla de Xicohténcatl,0015,San Diego Buenavista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,041,Papalotla de Xicohténcatl,0016,Tepizila,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
29,Tlaxcala,041,Papalotla de Xicohténcatl,0017,Xaltonac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Tlaxcala,041,Papalotla de Xicohténcatl,0018,Copachigia,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
29,Tlaxcala,041,Papalotla de Xicohténcatl,0019,Zacatecoma,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
29,Tlaxcala,041,Papalotla de Xicohténcatl,9998,Localidades de una vivienda,1,1,0,0,0,0,1,1,0,1,0,1,4,0,0,0
29,Tlaxcala,041,Papalotla de Xicohténcatl,9999,Localidades de dos viviendas,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
